league_id,team_id,name,alternate_name
13,148721,FC CFR 1907 Cluj,clu1
13,148723,FC Petrocub Hînceşti,pet1
13,148727,Djurgårdens IF FF,dif3
13,148731,FC Shkupi,shk3
13,148733,Tobyl FK,tob1
13,148735,Kuopion PS,kps1
13,148741,LASK Linz,lin5
13,148743,Rīga FC,rfc1
13,148745,Tre Fiori FC,trf1
13,148749,SK Iberia 1999,sab1
13,148751,FC Feronikeli 74,fer1
13,148753,FK Rīgas Futbola Skola,rfs1
13,148755,Royal Antwerp FC,ant1
13,148757,Ararat-Armenia FA,a-a1
13,148759,Stade Brestois 29,sbr1
13,148761,NŠ Mura,mur1
13,148763,Racing Club de Lens,rcl1
13,148767,Inter Club d'Escaldes,int3
13,148769,Servette FC,ser1
13,148771,FK Borac Banja Luka,bor1
13,148773,FK Bodø/Glimt,bog1
13,148775,Noah FA,noa1
13,148777,FK TSC Bačka Topola,tsc1
13,148785,Valmiera FC,val7
13,148787,Ħamrun Spartans FC,ħam1
13,148789,SK Dnipro-1,dni1
13,148791,FC Ballkani,bal1
13,148793,RU Saint-Gilloise,usg1
13,148795,Áris Lemesoú,ari1
13,148797,Atlétic Club d'Escaldes,esc1
13,148799,FCV Farul Constanţa,far1
13,148801,FC Struga Trim & Lum,stl1
13,148803,FC Swift Hesper,hes1
13,148805,Larne FC,lar1
13,148807,RKS Raków Częstochowa,rak1
13,148809,AC Virtus,vir1
13,148811,FK Panevėžys,pan1
13,148813,KF Egnatia Rrogozhinë,egn1
13,148815,FK Dečić Tuzi,dec1
13,148817,Páfos FC,paf1
13,148821,Shelbourne FC,she3
