polymarket_league_id,polymarket_league_name,polymarket_league_slug,polymarket_sport,polymarket_sport_id,polymarket_association
2,Premier League,epl,soccer,100350,premierleague.com
3,LaLiga,lal,soccer,100350,laliga.com
7,Bundesliga,bun,soccer,100350,bundesliga.com
12,Serie A,sea,soccer,100350,legaseriea.it
13,UEFA Champions League,ucl,soccer,100350,uefa.com
