cms_team_id,cms_league_id,cms_team_name,polymarket_team_id,polymarket_league_id,polymarket_team_name,polymarket_team_slug,status,notes
,b0828767-10ab-4288-b18d-a6f2f481b2e8,,101141,7,Borussia Mönchengladbach,moe,unmapped,
,b0828767-10ab-4288-b18d-a6f2f481b2e8,,101135,7,BV Borussia 09 Dortmund,dor,unmapped,
,b0828767-10ab-4288-b18d-a6f2f481b2e8,,101143,7,Eintracht Frankfurt,ein,unmapped,
,b0828767-10ab-4288-b18d-a6f2f481b2e8,,101137,7,FC Augsburg,aug,unmapped,
,b0828767-10ab-4288-b18d-a6f2f481b2e8,,101129,7,FC Bayern München,bay,unmapped,
,b0828767-10ab-4288-b18d-a6f2f481b2e8,,101145,7,FC St. Pauli 1910,pau,unmapped,
,b0828767-10ab-4288-b18d-a6f2f481b2e8,,114295,7,Hamburger SV,hsv,unmapped,
,b0828767-10ab-4288-b18d-a6f2f481b2e8,,101146,7,Holstein Kiel,hol,unmapped,
,b0828767-10ab-4288-b18d-a6f2f481b2e8,,101134,7,RB Leipzig,lei,unmapped,
,b0828767-10ab-4288-b18d-a6f2f481b2e8,,101130,7,SC Freiburg,fre,unmapped,
,b0828767-10ab-4288-b18d-a6f2f481b2e8,,101140,7,SV Werder Bremen,wer,unmapped,
,b0828767-10ab-4288-b18d-a6f2f481b2e8,,101136,7,TSG 1899 Hoffenheim,hof,unmapped,
,b0828767-10ab-4288-b18d-a6f2f481b2e8,,101133,7,VfB Stuttgart,stu,unmapped,
,b0828767-10ab-4288-b18d-a6f2f481b2e8,,101144,7,VfL Bochum,boc,unmapped,
,b0828767-10ab-4288-b18d-a6f2f481b2e8,,101131,7,VfL Wolfsburg,wol,unmapped,
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,101113,12,AC Milan,mil,unmapped,
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,101110,12,ACF Fiorentina,fio,unmapped,
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,101127,12,AS Roma,rom,unmapped,
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,101116,12,Atalanta BC,ata,unmapped,
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,101121,12,Bologna FC 1909,bol,unmapped,
c3e35aff-5e30-4a48-9492-9dd916849ec2,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,Cagliari Calcio,101126,12,Cagliari Calcio,cag,mapped,
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,101119,12,Como 1907,com,unmapped,
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,101128,12,Empoli,emp,unmapped,
213c6579-6c4f-4cd2-baa6-93beca376b81,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,FC Internazionale Milano,101111,12,FC Internazionale Milano,int,mapped,
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,101120,12,Genoa CFC,gen,unmapped,
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,101117,12,Hellas Verona FC,ver,unmapped,
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,101109,12,Juventus FC,juv,unmapped,
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,101112,12,Monza,mon,unmapped,
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,101124,12,Parma Calcio 1913,par,unmapped,
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,114300,12,Pisa SC,pis,unmapped,
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,101125,12,SS Lazio,laz,unmapped,
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,101114,12,SSC Napoli,nap,unmapped,
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,101122,12,Torino FC,tor,unmapped,
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,101115,12,Udinese Calcio,udi,unmapped,
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,114299,12,US Cremonese,cre,unmapped,
